retriever,task,query_id,max_score,gap_ctx,gap_25,retrieval_success_5,retrieval_success_25,judgment
reasonir,biology,8,0.5188533663749695,0.01987302303314209,0.07068991661071777,1,1,CORRECT
reasonir,biology,4,0.6060094237327576,0.05875861644744873,0.1303369402885437,0,1,CORRECT
reasonir,biology,0,0.4649088382720947,0.02821364998817444,0.06426393985748291,0,1,INCORRECT
reasonir,biology,1,0.6018384099006653,0.044261932373046875,0.13377630710601807,1,1,CORRECT
reasonir,biology,2,0.5128638744354248,0.025671839714050293,0.06308126449584961,0,1,INCORRECT
reasonir,biology,6,0.5449842810630798,0.019183456897735596,0.06833022832870483,0,1,INCORRECT
reasonir,biology,13,0.5463916063308716,0.018491268157958984,0.07747244834899902,1,1,INCORRECT
reasonir,biology,5,0.6738157272338867,0.09686923027038574,0.13276618719100952,1,1,CORRECT
reasonir,biology,11,0.5497586727142334,0.06415072083473206,0.12326526641845703,1,1,CORRECT
reasonir,biology,7,0.691220760345459,0.06975245475769043,0.2837868928909302,1,1,CORRECT
reasonir,biology,3,0.5669917464256287,0.07122805714607239,0.12739670276641846,1,1,CORRECT
reasonir,biology,10,0.5882596969604492,0.0802081823348999,0.13240951299667358,1,1,CORRECT
reasonir,biology,12,0.5677351951599121,0.019713103771209717,0.04123818874359131,0,0,CORRECT
reasonir,biology,9,0.5805443525314331,0.03637319803237915,0.08940255641937256,0,0,CORRECT
reasonir,biology,14,0.5895601511001587,0.05534118413925171,0.1262577772140503,1,1,CORRECT
reasonir,biology,15,0.5805224180221558,0.04179179668426514,0.07920753955841064,0,0,INCORRECT
reasonir,biology,20,0.6158185005187988,0.07740521430969238,0.11933505535125732,1,1,CORRECT
reasonir,biology,16,0.6010544300079346,0.09111893177032471,0.13614511489868164,0,0,INCORRECT
reasonir,biology,18,0.50450199842453,0.03670218586921692,0.08849477767944336,0,1,CORRECT
reasonir,biology,19,0.6572397947311401,0.0770687460899353,0.1505352258682251,1,1,CORRECT
reasonir,biology,22,0.5101348757743835,0.04597371816635132,0.08076152205467224,1,1,CORRECT
reasonir,biology,23,0.5578116178512573,0.04653376340866089,0.08531349897384644,0,0,CORRECT
reasonir,biology,17,0.562624454498291,0.02846229076385498,0.0726294219493866,1,1,CORRECT
reasonir,biology,21,0.5897316932678223,0.07671475410461426,0.17624807357788086,1,1,CORRECT
reasonir,biology,27,0.49409782886505127,0.03794059157371521,0.0793815553188324,1,1,CORRECT
reasonir,biology,25,0.5340699553489685,0.03590291738510132,0.08410263061523438,1,1,CORRECT
reasonir,biology,24,0.55544513463974,0.03730124235153198,0.06257325410842896,1,1,CORRECT
