retriever,task,query_id,max_score,gap_ctx,gap_25,retrieval_success_5,retrieval_success_25,judgment
inst-l,biology,8,0.8995022773742676,0.03396803140640259,0.04818391799926758,1,1,CORRECT
inst-l,biology,1,0.8896850347518921,0.010209083557128906,0.031798720359802246,1,1,CORRECT
inst-l,biology,4,0.9128159284591675,0.027730464935302734,0.042960166931152344,1,1,CORRECT
inst-l,biology,11,0.8701839447021484,0.01747763156890869,0.03389018774032593,1,1,CORRECT
inst-l,biology,7,0.9391980171203613,0.03690695762634277,0.1108519434928894,1,1,CORRECT
inst-l,biology,12,0.9076650142669678,0.010941922664642334,0.026757240295410156,0,0,INCORRECT
inst-l,biology,5,0.9086823463439941,0.009593009948730469,0.029575228691101074,0,1,CORRECT
inst-l,biology,2,0.8776408433914185,0.0056160688400268555,0.01764237880706787,0,1,INCORRECT
inst-l,biology,6,0.8731464147567749,0.01041269302368164,0.02845597267150879,0,1,INCORRECT
inst-l,biology,0,0.860842227935791,0.011988401412963867,0.01899278163909912,0,1,INCORRECT
inst-l,biology,13,0.8799319267272949,0.015491724014282227,0.034956395626068115,0,1,INCORRECT
inst-l,biology,3,0.9098114967346191,0.03440403938293457,0.05855965614318848,1,1,CORRECT
inst-l,biology,10,0.9171698093414307,0.053791940212249756,0.06887340545654297,1,1,CORRECT
inst-l,biology,14,0.8805885314941406,0.00367128849029541,0.023461997509002686,1,1,CORRECT
inst-l,biology,9,0.9041523933410645,0.018967747688293457,0.03414440155029297,0,0,CORRECT
inst-l,biology,15,0.8687050342559814,0.00467681884765625,0.01581549644470215,0,0,INCORRECT
inst-l,biology,18,0.9011083841323853,0.029375553131103516,0.03828930854797363,0,0,INCORRECT
inst-l,biology,26,0.8732516169548035,0.012864410877227783,0.025287330150604248,0,0,INCORRECT
inst-l,biology,23,0.879050612449646,0.019307851791381836,0.036894798278808594,0,0,CORRECT
inst-l,biology,16,0.898880124092102,0.009510576725006104,0.02814418077468872,0,0,CORRECT
inst-l,biology,22,0.849193811416626,0.009867846965789795,0.02962672710418701,1,1,CORRECT
inst-l,biology,20,0.9008709788322449,0.029747366905212402,0.06136894226074219,0,1,INCORRECT
inst-l,biology,17,0.8873140811920166,0.009429216384887695,0.025513291358947754,1,1,CORRECT
inst-l,biology,19,0.9313602447509766,0.018858134746551514,0.03992962837219238,1,1,CORRECT
inst-l,biology,24,0.8942781686782837,0.02586197853088379,0.04398488998413086,1,1,CORRECT
inst-l,biology,21,0.9019492864608765,0.02042102813720703,0.053198397159576416,1,1,CORRECT
inst-l,biology,25,0.899785041809082,0.02136063575744629,0.040341854095458984,1,1,INCORRECT
inst-l,biology,27,0.8682848215103149,0.02477288246154785,0.03696483373641968,1,1,CORRECT
inst-l,biology,28,0.9269838333129883,0.060597896575927734,0.07215011119842529,0,1,CORRECT
